airline_sentiment;airline;text
neutral;Southwest;@SouthwestAir left behind iPad Air on flight 505 from Bradley to BWI, plane had already left by the time I realized. Can you possibly help?
neutral;Southwest;@SouthwestAir I'm on the 110 lol has anyone arrived yet??
neutral;US Airways;@USAirways Yes, it was Sunday.
negative;Southwest;@SouthwestAir what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one
negative;United;"@united just landed. Might want to check flight 304 plane from Houston. That sound was during takeoff &amp; landing http://t.co/QKquRagGoO"
negative;US Airways;@USAirways this is ridiculous #planebroken can't wait to board this one home 5 hours Late Flightr #neverontime #brutal #paymytab
negative;United;@united thanks for delaying my flight for an hour, and then boarding us onto a flight that REEKS of vomit because it wasn't cleaned properly
neutral;United;@united need to add service dog to my itinerary for tomorrow
negative;Delta;@JetBlue Two delays.  A little proactive communication goes a long way. #howhardcanthatreallybe?
negative;United;@United I have never been so grossed out in my life. What a disappointment-yet again-flying with you.
negative;US Airways;@USAirways why I can't book a flight to PRN through your website?
negative;Virgin America;"@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help"
negative;United;@united Thank U for the 1hr delay then boarding us onto a plane that reeks of vomit, flight attendant indicated it wasn't cleaned properly.
negative;Southwest;@SouthwestAir thanks for losing my luggage
positive;Southwest;@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J
negative;Southwest;@southwestAir SWA agent Jacquie Plitt @Orangecounty SNA rudely tells me You're not going 2 CABO today or manana back 2 PHX flew @USAirways
negative;United;@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport
negative;United;@united its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark
positive;Delta;@JetBlue - loving Capt Joe on our flight from BOS to SFO #633. This should be fun!
positive;US Airways;@USAirways Yes thank you. Appreciate u checking...
negative;United;@united this is besides the fact that one week ago you delayed me by 18 hours. i am not impressed at all.
neutral;United;@united if I had a ticket refunded which I purchased, for my brother to fly...could I then used the refunded credit for me to fly? Respond
neutral;Southwest;@SouthwestAir how many are left?!
negative;Delta;@JetBlue can't seem to DM you guys.. JDHADP
positive;Southwest;@SouthwestAir Flight 3056. Only an hour long but one of the best flights I've ever had. Kudos to flight crew and airline in general.
neutral;United;@united dmangen@visualclubconcepts.com
neutral;US Airways;@USAirways any chance of a travel advisory or DCA this weekend?
neutral;United;@united this is for a check-in luggage. Employee told me not to include wheels in the dimensions.
negative;United;@united Terribly disappointed. Confirmed reservation delayed and your cust. service staff was not helpful in finding an alternate solution.
negative;US Airways;@USAirways @AmericanAir who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck
neutral;Southwest;@SouthwestAir  is there a route to flight from Mexico City to Chicago midway using your services?
neutral;Southwest;@SouthwestAir 8 mins!!! http://t.co/bbZiJWFDL3
negative;Southwest;@SouthwestAir needs 2 make me whole Used my tkt back n PHX due 2 rude SNA agent Jacquie Plitt flew @USAirways 2 CABO http://t.co/QxWW1p09a0
positive;United;“@united: @d_goodspeed We will follow up with our Maintenance team. Thanks for the tweet. ^KP” THANK YOU!  United Cares!
positive;Southwest;@SouthwestAir   Happily, flight 1625 was not delayed when a cockpit visit blew my four-yr-old's mind. Thanks, Cap'n! http://t.co/C8mqEzXVdH
negative;United;@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.
neutral;Delta;"@jetblue captain ""takes as lot of muscles to frown but JUST A FEW TO SMILE. Y'all ready to go flyin?"" I mean... Now I am!"
negative;United;@united this means within one week i will have filed 2 compensation complaints to your website
negative;United;@united why? So I can waste more of time on this airline to get an automated message? Disappointing as always.
negative;Southwest;@SouthwestAir doesn't care nor does SNA agent Jacquie Plitt, rude gal bad attitude! had 2 fly @USAirways 2 CABO thx http://t.co/VbUxfPCKfa
neutral;Southwest;@SouthwestAir 5 min away!
negative;Southwest;@SouthwestAir Yes, but I like need my luggage before tomorrow morning
neutral;Virgin America;@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
positive;Delta;@JetBlue who is he I must send a note!!! Too good for words!
neutral;Southwest;@SouthwestAir please please please http://t.co/xiJiFYmvqP
negative;United;@united why I won't check my carry on. Watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min http://t.co/lyoocx5mSH
negative;United;@united I'm fully aware, it's just that your rules are harsh toward the client. Especially since you're going to resell my seat for more $.
neutral;Southwest;@SouthwestAir go @franks105 go!
neutral;United;@united yes! I'll be sending an email to customer service today.
neutral;United;@united Not waiving change fees with the snow storm coming tomorrow? IAD is under Winter Storm warning tomorrow already, what's up?
negative;US Airways;@USAirways How do I get through?
negative;United;".@united It's worth saying that, if you litter in Singapore, you get caned. ""But there are rules"" says @united"
neutral;US Airways;@USAirways I'm not a frequent flyer with US airways, I'm qantas? Can I still get notifications? Thank you
negative;Southwest;@SouthwestAir okaaaaay UGH IM 8 MIN AWAY
neutral;United;@united blood services, make your appt. today! 18009174929 http://t.co/6UXwPaduGS
negative;US Airways;@USAirways Wishing we had our luggage. 2 days now. Had to pay our way from St Thomas to San Juan. Spent extra $$$ because of this mess up.
negative;United;@United you need to get it together 3 of 4 flights Cancelled Flightled stranded with no car and my baggage is lost!  You NEVER get it right.
positive;Delta;@JetBlue thanks for your reply. It was flight 1572.
positive;Delta;@JetBlue he loved the #natural #beefjerky snacks😉
neutral;Southwest;@SouthwestAir I saw ppl were winning tickets still, how do we win some?
negative;Southwest;@SouthwestAir no one I call knows anything about it so I'm just wondering how to get any? #DestinationDragons
positive;Southwest;@SouthwestAir rules.
negative;US Airways;@USAirways link didn't work via Mobil.
neutral;Southwest;@SouthwestAir please....can I have the last tickets for me and my best friend to #DestinationDragons http://t.co/eQqi1nfSZh
negative;Southwest;@SouthwestAir  after 38 minutes on the phone I'm given another number to call now still on hold with them. http://t.co/1ZT2kEe8up
positive;United;@united thanks for moving my dad on to my my mom's flight. You helped make his birthday start with #FriendlyFriday Awesomeness! 4 paws up!
negative;Southwest;"@SouthwestAir I was on hold for 30 minutes &amp; no one knows how to win these tickets that you're still handing out? #DestinationDragons"
neutral;Delta;@JetBlue I'm flying your airline just out of #LGA 😷
neutral;United;@united uhuh.Group trying to get out of Nashville and into IAD today instead of tomorrow,why be preemptive though... https://t.co/yBv0xaowKv
neutral;Virgin America;👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”
positive;Virgin America;@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
neutral;US Airways;@USAirways Used 2 get emails 1) pre-purchase a snack and 2) when time to check in. Got neither 4 tomorrow's trip. Do they not get sent now?
negative;United;@united Love to report how horrible this flight is to your team. Let's make it worse...as they get to my seat...out of all snacks
neutral;Southwest;@SouthwestAir any chance they will change this to include Northeast airports?  JetBlue has.
neutral;Delta;@JetBlue do you have any afternoon flights going from BQN to JFK? I only seem to find early morning flights.
negative;US Airways;@USAirways how about checking the plane before having everyone board the plane? #pissed
positive;Delta;@JetBlue okay thanks. Hope to be flying with you guys soon!
positive;Southwest;@SouthwestAir THANK YOU SO MUCH!! http://t.co/tGSB1DfPS3
negative;United;@united we can't all be american airlines I suppose... http://t.co/0EWj7oKlji
neutral;Southwest;@SouthwestAir @TheEllenShow @Imaginedragons if only that was me! 😍 #DestinationDragons
neutral;Southwest;@SouthwestAir any spare tickets for Vegas? Would be forever grateful! #DestinationDragons
neutral;United;@united or us air: http://t.co/Eis9hcNPrO
negative;Southwest;"@SouthwestAir Cancelled Flights arrivals &amp; departures in Nashville as of 5pm. That and more weather headlines @ 4pm #LiveOnFOX17 #FebruaryFreezeFox17"
neutral;United;@united assume those benefits only apply to my own reservation. Any way my partner (on diff res) can use them? Can we combine res?
negative;Southwest;@SouthwestAir Your wifi stinks. I'm not mad, but i wouldn't hate it if i got my money refunded.
neutral;Southwest;@SouthwestAir when will you have flight from DAL to PVD?
negative;United;@united Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated
negative;Southwest;@SouthwestAir heyo! What is causing flight 1836 ewr to hou to be delayed?
neutral;Delta;@JetBlue do you have direct flights to and from Bos to St Lucia or Antigua?
negative;United;@united I know where to check. My complaint is my ticket said dinner when I booked now it's changed to refreshments. Where's my refund?
negative;US Airways;@USAirways flight 413 my carryon is missing.stollen off plane or left at gate. Worst customer service. Doesn't seem to be anyone's concern.
neutral;Southwest;@SouthwestAir aren't you based in Chicago? Why are you doing a hunt in LA and not your home city????!! Please bring one home
neutral;Delta;@JetBlue do you know when the schedule for dec 2015 will be released?
negative;Delta;Well lets see.  You could pay for my Negroni with bitcoin. @JetBlue
neutral;United;@united FYI, went through this on similar flight last week.
positive;Southwest;@SouthwestAir so excited about our last minute trip to @Disneyland (and she doesn't know yet!) http://t.co/nKAFbjyARi
negative;Delta;"@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. 👎"
positive;United;@united Thank you. Any help is appreciated.
positive;Southwest;@SouthwestAir THANK YOU SO MUCH FOR ACCESS TO #DestinationDragons TONIGHT AT @theTroubadour 😁 @Imaginedragons Crying /dying rn #ripme
negative;Southwest;@SouthwestAir I filled in the form on the website too. Darn it all. I guess I'll just have to cross my fingers.
negative;US Airways;@USAirways I'm trying to Request Missed Mileage and it keeps saying it can't my flight from 2/13. Then it says call the number.
negative;Southwest;@SouthwestAir just want the money I paid for early bird refunded. Noone seemed to be able at three different. SW should have that worked out
neutral;United;@united or frontier ... http://t.co/n8WiNFu6C5
negative;US Airways;@USAirways there is a travel advis for nyc and phil PA  -winter weather- but U.S. Air hasn't posted one yet. Can I still change flt wo pen?
negative;US Airways;"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip"
neutral;Southwest;@SouthwestAir LACMA on Fairfax.
negative;United;@united you might be the only airline not offering waivers...keep up the good fight
negative;US Airways;@USAirways @AmericanAir can someone please tell me who I have to talk to #getittogether #findurgrip
negative;Delta;@JetBlue Did you discontinue nonstop service from SJC to BOS? Can't find 471 or 472 anywhere
negative;United;@united you are making me miss big snow in Montana. Not cool.
neutral;United;@united how long does it take for customer feedback to respond to a complaint?
negative;Delta;.@JetBlue Ah grasshopper, your twitterz kung fu no good.  Hire geeks. http://t.co/8MWItRi9kF
neutral;US Airways;@USAirways Almost home ...East Coast Freeze headed to PHL connect AVP TGIF http://t.co/WXowZhpgfL
neutral;Delta;@JetBlue When will you release November flights for Flight Booking Problems?
positive;Virgin America;@VirginAmerica fav airline
neutral;US Airways;@USAirways How do I redeem my pass to the admirals club? I have 1 free visit with my barclay card membership. And can I bring a companion?
negative;Delta;@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight
negative;United;@united I'm sorry it's cold in chicago, but I don't see why that means it takes 45 minutes for my priority bag to show up on the carousel.
negative;United;@united next time I will not volunteer to let you gate check my bag for space, since you obviously can't deliver it in a timely manner.
positive;Southwest;@SouthwestAir please acknowledge Attendant Jeff Wernicke. Beat in class and service on SW
neutral;Virgin America;@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
negative;US Airways;@USAirways nothing important to do.  Why was I told to wait in the @AmericanAir line?  #patiencerunningout
negative;United;@united 4016 529557.   You going to transfer my car to me too?  Because it's at the airport you couldn't get me too...
positive;Delta;@JetBlue Please come to Indianapolis!
negative;United;@united as for volunteers to give up seats, people did! Now we sit for 25 minutes on plane waiting 4 them to add more people!  #letsgo
negative;United;@United super lame that you charge $8 for tv on an international flight to the US. It isn’t 1997!
negative;Southwest;@SouthwestAir not if its travel Credit you used to buy and it expires on the day you find a lower rate
positive;United;@united : thanks! i will catch my conection! :)
negative;United;@united so we fly into SFO and Honululu gets pushed back 3.5 hours and now it looks like more delays.  I beg of you plz sort this out soon!
neutral;US Airways;@USAirways It's a debit card, but I am a Dividend member.
negative;Delta;@JetBlue maybe announce the delay so we don't sit on the plane on the runway for an hour+ before taking off
negative;Delta;@JetBlue ...second incident of lost baggage.  I sent you a DM.  Thoughts?
negative;Southwest;@SouthwestAir you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware
negative;United;@united add wifi, entertainment and the old seats and i’ll come back.
negative;Southwest;@SouthwestAir Gary Kelly should be ashamed of himself running a corporation in this way
negative;United;@united don't need your apologies, need my bag. Took 56 minutes from landing to get it. Unacceptable.
negative;United;@United @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail
negative;United;@united Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...
negative;Virgin America;"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
neutral;United;@united as a million mile flier I'm embarrassed to ask how long ago his launched?
negative;US Airways;@USAirways if you get my bag from E Gate to B Gate at the Charlotte airport before my 6 pm flight (Late Flight cause of yall) I’ll ride US for life
negative;United;@united delayed another hour
negative;US Airways;@USAirways I have never been given a number for elite for usair. Only AA. I waited for 3 hours for an answer and by then my seat was gone.
negative;United;@united also doesn't help me. I'm a very frequent flier and united premiere gold. Apparently that means nothing.
negative;US Airways;@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled.
positive;United;@united When are you coming back to @IFlyOAKland? You have a huge East Bay customer base due to SFO and *I* miss you!
negative;US Airways;@USAirways found the tix#, security code not working. Tried a dozen times.
neutral;United;@united OK, thanks for the clarification.
negative;United;@united how about after 2.5 hrs at ORD another .5 on the tarmac + refuse to move me to an earlier flight you make it up to me? #iflyalot #bs
negative;US Airways;"@USAirways it MIGHT have went through. No confirmation. ""Please wait"" then same form."
negative;United;@united I know. I’m sure you hear it all the time — don’t like the new seats. I’m a small guy, 5’ 6” and I feel the new planes are tight
neutral;United;@united Lindsay and ??.  Darn.  Terrible memory on my part.  I know they are headed back to IAD and then PIT tonight.
negative;US Airways;@usairways and @american please get my plane together before I go to Jetblue
negative;Delta;@JetBlue, why must you always delay my Late Flight night Orlando flights? 💔
negative;Southwest;@SouthwestAir are you guys alive? i've been on hold for 25 minutes and counting.....
neutral;United;@united please tell me I'm going to make my connecting flight from O'hare to #STL #SouthBendINWhere 🙏 http://t.co/qGwK10dEwv
positive;US Airways;@USAirways thank you
negative;Delta;@JetBlue No, the flight wasn't until 9:51pm, but it's already been delayed.
negative;United;@united Existing reservation is fine. I was talking about no longer having an 0600 CMH-ORD option. 0638 gets me in too Late Flight.
positive;Delta;@JetBlue - looking forward to it when we finally take off.
negative;Southwest;@SouthwestAir Totally sucks that my flights were weathered out of existence, but Stacy in Tucson helped with an overnight in Vegas!
negative;United;@united it should be free like other airlines! Again, it’s not 1997 anymore.
negative;US Airways;@usairways is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?
neutral;Delta;@JetBlue y'all got prices for the low??
negative;Southwest;@SouthwestAir Late Flightly you've always been Late Flight! Please get back to the old #SWA!!
neutral;Southwest;@southwestair has posted flight schedule covering the date range of @_defcon_ 23
negative;Southwest;@SouthwestAir not sure I can trust a statement with that many small numbers above words. http://t.co/o3sRL1hfho
negative;Delta;@JetBlue Jan 5? That's not summer http://t.co/TpzhjX7Hbt
positive;Southwest;"@SouthwestAir got it taken care of! thank you &lt;3"
neutral;Delta;@JetBlue Thank you.
neutral;Delta;@JetBlue Hawaii what deals u have for me
neutral;Delta;@JetBlue Thanks. Which day of the week is the direct?  The flights I saw went thru JFK   ☀️
negative;United;"@united worst AIRLINE 
BEWARE THEY DO NOT MAINTAIN THERE PLAIN 
BEEN ON THE RUNWAY THE PAST 4 HOURS!!!/"
positive;United;“@united: @BattierCCIpuppy Your puppy is so cute. We look forward to having both of you on board. Thanks for the high five. ^EY” 👏👏
neutral;Southwest;"@SouthwestAir @TheEllenShow @Imaginedragons this job interferes w/Ellen Show &amp; concerts! will alway treasure my @LiveAtFirefly experience!"
negative;US Airways;@USAirways Good info, but am already signed up for all options.  None of which sound like they applied to the 'missing' emails.
negative;US Airways;"@USAirways 2 bad planes &amp; 3 gate changes= lots of exercise. #travelfail let's hope this plane works. I'm tired."
neutral;US Airways;@USAirways there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?
negative;United;@united Yes but unbelievable.  Should have a free fare lock
neutral;Delta;@JetBlue so what about California
negative;United;@united this delay of flight UA4636 has been painful. I sure hope it doesn't cause me or my luggage) to miss my UA82 flight to New Delhi!
positive;Virgin America;@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
neutral;Southwest;@SouthwestAir I would sell my nonexistent soul to go see #DestinationDragons
positive;Delta;@JetBlue thanks!
positive;United;@united all good man it isn't your fault that plane is having maintenance issues
negative;US Airways;@USAirways thanks for nothing
negative;Southwest;@SouthwestAir = easy and pleasant. @united = difficult and stressful. Learned my lesson.
neutral;Delta;@JetBlue imma need the hook up tho
neutral;US Airways;@USAirways  is a bag that is   23”L x 9”W x 12”H  allowed as a carry on?
negative;US Airways;@USAirways yep, check it and my gmail 'Promotions' folder regularly... :-(
negative;United;@united 5.5 hours Late Flightr I've been in transit for a total of twelve hours...please just change the plane on flight 600 this is ridiculous SFO
negative;Southwest;@SouthwestAir I would die if I got tickets to #DestinationDragons and you would be invited to my funeral
positive;Virgin America;@VirginAmerica your inflight team makes the experience #amazing!
negative;Delta;@JetBlue looks like their inflatable car seats got left on the plane, so I guess they'll be back sometime!! #savethoseseats
neutral;Southwest;@SouthwestAir I am committed okay please hook me up for #DestinationDragons
negative;US Airways;@USAirways will do.  maybe the pre-purchase meal email is because the flight is 9 min short of 3 hours, so I guess there are none offered
negative;Delta;"@JetBlue Why not deal with that while the plane's on the ground instead of diverting the plane &amp; adding 2 hrs to the flight?"
negative;US Airways;@USAirways you suck and you ruined my day. And my vacation isn't even until June.
negative;US Airways;@USAirways technical issues = inefficient computer triage system. Personality/ compassion of operators = not. Sad example of sad company.
neutral;Southwest;@SouthwestAir I need Imagine Dragons like I need air..... PLEASE HOOM ME UP FOR THE VEGAS SHOW ( ͡° ͜ʖ ͡°)
neutral;Southwest;@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!
negative;Southwest;@SouthwestAir http://t.co/tTXRSyNLxr doesn't work on my flight. Just fyi.
negative;US Airways;@USAirways not happening #worstairlineever also Marie Burroughs is the worst customer service rep ever #yourairlinesucks
negative;United;@united - terrible experience on UA415 on 17th. 1st exit row in economy has zero legroom. Have same row booked for return but can't change.
negative;Southwest;@SouthwestAir baggage woman said it was in Blatimore and would be on a plane this morning. Now they can't find it. WTF!???
neutral;Southwest;@SouthwestAir I would be eternally grateful for tickets to the Vegas show ( ͡° ͜ʖ ͡°) God bless
negative;US Airways;@USAirways stuck on Tarmac for hour an a half and told longer to go and no hotels available when we land in Phoenix #unacceptable #unhappy
negative;US Airways;@USAirways - delayed 1851. Need an extra 5 min to make 1769. Would appreciate a little help again this week.
negative;US Airways;@USAirways it's not misjudging it's a deliberate strategy. Seen it multiple times on USAir. Makes staff life easier at expens of passengers
neutral;Southwest;@SouthwestAir do you have special fares for students to visit prospective schools?  It's expensive to visit graduate programs.
negative;Delta;@JetBlue flight1407, it's been a long day! Arrived from London at 11 this morning
neutral;Southwest;@SouthwestAir tweet just popped up on my phone with @amin_aur follows. Missing my favorite Southwest pilot and brother.
negative;Southwest;@SouthwestAir WTF, my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app!
negative;United;@united incompetent/rude service today. Missed my connecting flight, then the customer service desk was terrible to me. Really upset w untd.
neutral;United;@united - sitting in seat 10D on a flight back from Vegas to Chicago.  Someone left a folder that looks important in the seat pocket. (1/2)
neutral;United;@united (2/2) I have their name (boarding pass was in there, too).  I think they might really need this. Any ideas?
positive;United;"@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!"
negative;Delta;@JetBlue I'm a trying ! But I'm tired and getting grumpy !
negative;US Airways;@USAirways here we go again. Same flight as last week. Delayed already 45 mins. Think the 7:15 can leave PHL before 1:15 am? #waitingagain
negative;US Airways;@USAirways Cancelled Flightled our original flight to aruba. Now on the way home we were told we don't have seats. Never flying @usairways again
negative;United;@united I will! On @AmericanAir @SouthwestAir @Delta or @JetBlue  all of which will be getting my business. #unfriendlyskies #unbelievable
negative;United;@united just like clockwork, Friday afternoon flights from LAS to DEN running Late Flight. Why does this seem to happen so consistently #KeepIt100
negative;United;@united Don't ask me to be patient without offering something in return.
negative;United;@united Also, group 5 is total BS.
positive;United;@United flight experiences R often frustrating, but 2day on UA5184 from CHI to WPG flight attendant April was #amazing! She's 1 of the best!
negative;Delta;@JetBlue I tried a burger which was good but expensive! Were lead to believe that food in the USA is cheap butnot here!
negative;United;@united already Flight Booking Problems next week's trip on @AmericanAir  thanks for making the choice so easy #disunited #unfriendlyskies #servicefail
negative;Southwest;@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with
negative;United;@united roundtrip to London on @Delta ? I think I will! FYI that's another $1k you just lost. #moneynotspentonunited #unfriendlyskies
negative;United;@united I think problem resolution should be decided on your end. Especially if you'd like me to continue flying your airline.
negative;Delta;.@JetBlue yes and not boarding at 6:44. Good luck with that. Push wheels up to reality.  Dare you.
neutral;Southwest;@SouthwestAir OMG OMG OMG !!! I JUST DID!!
neutral;United;@united I just had an interview how long does it take before you hear back
negative;Delta;.@JetBlue yes. Filed a claim and they issued $30 credit as a courtesy. The whole thing seems exceptionally uncourteous to me.
negative;US Airways;"@USAirways I did &amp; was told I asked to many questions. bag might still be on flight 413. Should be easy to check when it lands in Seattle."
negative;United;@united is really getting horrible. So much for tucking in my kids tonight. Delta transfers miles/status, right? http://t.co/H6HN33JJJE
neutral;Virgin America;@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao
neutral;Delta;.@JetBlue process begins 6:48
negative;United;"@united cross country flight SFO&gt;BOS. No wifi, not even a can of soda and this quality inflight entertainment #sad http://t.co/xhlc30MTfF"
neutral;Delta;@JetBlue question, flying for the 1st time with my 16mont old son...do I need to bring anything for him? Birth certificate/S.S. card etc?
negative;Delta;@JetBlue were boarding now I'm really not impressed. I've learnt a very valuable lesson .
neutral;Virgin America;@VirginAmerica way to take advantage of #MayweatherPacquiao :)
negative;Delta;.@JetBlue i'm sorry.  Boarding chaos is underway.  Please query again post scrum.
negative;United;@united Why haven't you released a travel advisory for IAD for tomorrow????!!!!!!!!
positive;Delta;@JetBlue thanks...
negative;United;@united Really....you charge me $25 to check a bag and then you put it on a different flight....still Don't have my bag!!!
positive;United;@united wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍
negative;United;@united your agents forced me to check a carry on bag. When I received my bag I found your crew had stolen from me. U lost my business!
negative;United;@united I need you...to be a better airline. ^LOL
negative;US Airways;@USAirways @AmericanAir terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.
positive;United;@united Gate Agent Alavera is amazing
positive;United;@united thank you for the reply.  I will fill out the form and submit it as requested.  Good to know you're paying attention!
positive;Virgin America;"@VirginAmerica I see what you did there ;)"
negative;US Airways;@USAirways rudest crew member experience! Throwing shade and calling out customers. #reachingnewlows
negative;Southwest;@SouthwestAir here we go again. Delayed in Chicago why offer the 630 flight if you never intend to fly it
negative;United;"@united Listen, learn &amp; do this: Remove your PQD requirement. It is insulting. ^HA"
positive;Delta;@JetBlue Airways Corporation (NASDAQ:JBLU) Reaches on New High Range ... - StreetWise Report http://t.co/C7tpdKqULM
negative;Delta;@JetBlue any news on flight 122 pbi-boston delay? Can we wait to arrive at airport based on reported 1 and 1/2 hour delay?
negative;US Airways;@USAirways them and @AmericanAir
positive;Southwest;@SouthwestAir I will do just about anything tO GO TO THE VEGAS SHOW PLEASE MAN
negative;Delta;@JetBlue seriously?? What is going on?! http://t.co/mTHM9waObu
positive;Southwest;@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️
neutral;Southwest;@SouthwestAir #promotion fly 3 roundtrip #flights to and from #ATL between 2/15 and 5/17 and get a companion pass for the year #travel
negative;United;@united You can bump me up to Group 3 so I won't be forced to check my bag and wait 30+ minutes at LGA.
negative;United;"@United What idiot designed your seats? Armrest TV remote &amp; resting elbows don't mix. Seatmate keeps changing channels &amp; blasting volume."
neutral;Southwest;@SouthwestAir Are there any current promotions/codes for Nashville-Denver? Thank you!
neutral;Southwest;@SouthwestAir I will tell marry a lamp if you give me tickets to the Vegas show please I am desperate
neutral;Virgin America;@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
positive;Delta;@JetBlue you are officially my favorite, thank you for the wonderful service at JFK
neutral;Southwest;@SouthwestAir    How's life @ the NOC?
neutral;United;@united Yes, filled out the form last year. Don't have case number handy. Guess I'm not cut out for the historical society afterall
negative;United;@united I didn't get a message from you. I'll resend numbers.
positive;Southwest;@SouthwestAir thank you. See u next wednesday in FLL. Save me some peanuts
positive;Southwest;@SouthwestAir Thank you!
negative;Southwest;@SouthwestAir thanks! More concerned about the conflicting texts I was receiving my about my flight  Having to drive 10 hours now 😢
negative;United;@united 2 days and 3 planes with mechanical issues?  Now over 1.5 hrs Late Flight sitting on this plane. This is insane!!
negative;Delta;@JetBlue can you ask SLC checkin/bag drop if they found a dark blue/blackish fit bit flex? Would've lost it there around 445pm MT
negative;United;"@united not the case. Now delayed due to ""mechanical issues with no update on departure time"". Just Cancelled Flight the goddamn flight so I go delta"
negative;United;@united you may think I'm joking or blowing it out of proportion but the last 8 united flights have been delayed or significantly Late Flight.
neutral;United;@united any chance you'll ever do CPUs on your JFK-LAX like @AmericanAir?
negative;United;@united now I'll probably miss my next connection!
negative;Southwest;@SouthwestAir @dultch97 that's horse radish 😤🐴
negative;United;@united I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors.
positive;Southwest;"@SouthwestAir I'm on the 10:55 flight! Everyone has been so nice and helpful! I'm just hoping we'll get to fly out! Thank you! ;)"
neutral;Virgin America;@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
negative;Virgin America;@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
negative;Delta;"@JetBlue Any option for luggage assistance on the ground at HPN? Flight 2168 delayed 2+ hours &amp; we will have 2 sleeping kids when we land"
negative;US Airways;"@USAirways your team was just terrifyingly rude to a young mother &amp; her baby trying to check in to a flight from PHX to JWA. Help her out."
negative;Virgin America;@VirginAmerica Already checked in so the page expired :X
negative;United;@united you are by far the worst airline. 4 plane delays on 1 round trip flight. How is that possible.
neutral;Southwest;"@SouthwestAir $192 rndtrp 4/30-5/5 ""@DJQ_KC: RT @djimpact: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight"""
positive;Delta;@JetBlue Love you guys sooooooo much. Ridiculously appreciated! A+ service!
neutral;Southwest;@SouthwestAir how can customers get in touch with you internationally from Mexico for lost baggage
positive;Southwest;@SouthwestAir Great trip on 2672 yesterday - outstanding flight attendants
positive;Southwest;@SouthwestAir @SacIntlAirport Feels like a good day to fly!!  Thanks for the ontime departure to SNA!!:) #bestinclass #30000ft #takemehome
positive;Southwest;@SouthwestAir I'll have to drop by next time I visit!
neutral;Southwest;@SouthwestAir just do it that easy
negative;US Airways;@USAirways still waiting #brokenpromises #notnice #neveragain #tellyourstory
positive;Delta;"Cool! ""@JetBlue: @hgeronemus We are 60% there and anticipate completing installation on all our A320's this year. http://t.co/sGckBopATA”"
positive;Virgin America;@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
